citation,document_number,end_page,html_url,pdf_url,type,subtype,publication_date,signing_date,start_page,title,disposition_notes,executive_order_number
84 FR 509, 2019-00615,510,https://www.federalregister.gov/documents/2019/01/30/2019-00615/taking-additional-steps-to-address-the-national-emergency-with-respect-to-venezuela,https://www.govinfo.gov/content/pkg/FR-2019-01-30/pdf/2019-00615.pdf,Presidential Document,Executive Order,01/30/2019,2019-01-25,509,Taking Additional Steps To Address the National Emergency With Respect to Venezuela,"See: EO 13692, March 8, 2015; EO 13808, August 24, 2017; EO 13827, March 19, 2018; EO 13835, May 21, 2018; EO 13850, November 1, 2018",13857
84 FR 55235, 2019-22623,55238,https://www.federalregister.gov/documents/2019/10/15/2019-22623/promoting-the-rule-of-law-through-improved-agency-guidance-documents,https://www.govinfo.gov/content/pkg/FR-2019-10-15/pdf/2019-22623.pdf,Presidential Document,Executive Order,10/15/2019,2019-10-09,55235,Promoting the Rule of Law Through Improved Agency Guidance Documents,"See: EO 12866, September 30, 1993; EO 13563 of January 18, 2011; EO 1609 of May 1, 2012; EO 13771 of January 30, 2017; EO 13777 of February 25, 2017; Revoked by: EO 13992, January 20, 2021",13891
84 FR 55239, 2019-22624,55243,https://www.federalregister.gov/documents/2019/10/15/2019-22624/promoting-the-rule-of-law-through-transparency-and-fairness-in-civil-administrative-enforcement-and,https://www.govinfo.gov/content/pkg/FR-2019-10-15/pdf/2019-22624.pdf,Presidential Document,Executive Order,10/15/2019,2019-10-09,55239,Promoting the Rule of Law Through Transparency and Fairness in Civil Administrative Enforcement and Adjudication,"Revoked by: EO 13992, January 20, 2021",13892
86 FR 51581, 2021-20165,51587,https://www.federalregister.gov/documents/2021/09/16/2021-20165/white-house-initiative-on-advancing-educational-equity-excellence-and-economic-opportunity-for,https://www.govinfo.gov/content/pkg/FR-2021-09-16/pdf/2021-20165.pdf,Presidential Document,Executive Order,09/16/2021,2021-09-13,51581,"White House Initiative on Advancing Educational Equity, Excellence, and Economic Opportunity for Hispanics","Supersedes: EO 13935, July 9, 2020
See: EO 14091, February 16, 2023
Revoked by: EO 14148, January 20, 2025",14045
89 FR 73559, 2024-20712,73564,https://www.federalregister.gov/documents/2024/09/11/2024-20712/investing-in-america-and-investing-in-american-workers,https://www.govinfo.gov/content/pkg/FR-2024-09-11/pdf/2024-20712.pdf,Presidential Document,Executive Order,09/11/2024,2024-09-06,73559,Investing in America and Investing in American Workers,"See: EO 11246, September 24, 1965; EO 13985, January 20, 2021; EO 14008, January 27, 2021; EO 14020, March 8, 2021; EO 14080, August 25, 2022; EO 14082, September 12, 2022; EO 14091, February 16, 2023; EO 14141, January 14, 2025
Revoked by: EO 14236, March 14, 2025",14126
84 FR 57309, 2019-23525,57311,https://www.federalregister.gov/documents/2019/10/25/2019-23525/presidents-council-of-advisors-on-science-and-technology,https://www.govinfo.gov/content/pkg/FR-2019-10-25/pdf/2019-23525.pdf,Presidential Document,Executive Order,10/25/2019,2019-10-22,57309,President's Council of Advisors on Science and Technology,"Revokes: EO 13539, April 21, 2010; See: EO 12968, August 2, 1995; Revoked by: EO 14007, January 27, 2021",13895
88 FR 54867, 2023-17449,54872,https://www.federalregister.gov/documents/2023/08/11/2023-17449/addressing-united-states-investments-in-certain-national-security-technologies-and-products-in,https://www.govinfo.gov/content/pkg/FR-2023-08-11/pdf/2023-17449.pdf,Presidential Document,Executive Order,08/11/2023,2023-08-09,54867,Addressing United States Investments in Certain National Security Technologies and Products in Countries of Concern,"See: Notice of August 6, 2025",14105
84 FR 49935, 2019-20804,49939,https://www.federalregister.gov/documents/2019/09/24/2019-20804/modernizing-influenza-vaccines-in-the-united-states-to-promote-national-security-and-public-health,https://www.govinfo.gov/content/pkg/FR-2019-09-24/pdf/2019-20804.pdf,Presidential Document,Executive Order,09/24/2019,2019-09-19,49935,Modernizing Influenza Vaccines in the United States to Promote National Security and Public Health,"",13887
79 FR 46661, 2014-18998,46663,https://www.federalregister.gov/documents/2014/08/08/2014-18998/establishing-the-presidents-advisory-council-on-doing-business-in-africa,https://www.govinfo.gov/content/pkg/FR-2014-08-08/pdf/2014-18998.pdf,Presidential Document,Executive Order,08/08/2014,2014-08-05,46661,Establishing the President's Advisory Council on Doing Business in Africa,"See: EO 12870, September 30, 1993,
Continued by: EO 13708, September 30, 2015; EO 13811, September 29, 2017
Amended by: EO 13734, August 3, 2016",13675
79 FR 56931, 2014-22805,56935,https://www.federalregister.gov/documents/2014/09/23/2014-22805/combating-antibiotic-resistant-bacteria,https://www.govinfo.gov/content/pkg/FR-2014-09-23/pdf/2014-22805.pdf,Presidential Document,Executive Order,09/23/2014,2014-09-18,56931,Combating Antibiotic-Resistant Bacteria,"Continued by: EO 13708, September 30, 2015; EO 13811, September 29, 2017",13676
69 FR 29843, 04-11991,29844,https://www.federalregister.gov/documents/2004/05/25/04-11991/further-amendment-to-executive-order-11023-providing-for-the-performance-by-the-secretary-of,https://www.govinfo.gov/content/pkg/FR-2004-05-25/pdf/04-11991.pdf,Presidential Document,Executive Order,05/25/2004,2004-05-20,29843,"Further Amendment to Executive Order 11023, Providing for the Performance by the Secretary of Commerce of Certain Functions Relating to the National Oceanic and Atmospheric Administration","",13341
85 FR 39457, 2020-14337,39459,https://www.federalregister.gov/documents/2020/07/01/2020-14337/modernizing-and-reforming-the-assessment-and-hiring-of-federal-job-candidates,https://www.govinfo.gov/content/pkg/FR-2020-07-01/pdf/2020-14337.pdf,Presidential Document,Executive Order,07/01/2020,2020-06-26,39457,Modernizing and Reforming the Assessment and Hiring of Federal Job Candidates,"",13932
87 FR 77459, 2022-27585,77461,https://www.federalregister.gov/documents/2022/12/19/2022-27585/establishing-the-presidents-advisory-council-on-african-diaspora-engagement-in-the-united-states,https://www.govinfo.gov/content/pkg/FR-2022-12-19/pdf/2022-27585.pdf,Presidential Document,Executive Order,12/19/2022,2022-12-13,77459,Establishing the President's Advisory Council on African Diaspora Engagement in the United States,"See: EO 13985, January 20, 2021
Revoked by: EO 14148, January 20, 2025",14089
69 FR 50047, 04-18575,50048,https://www.federalregister.gov/documents/2004/08/12/04-18575/establishing-an-emergency-board-to-investigate-a-dispute-between-the-southeastern-pennsylvania,https://www.govinfo.gov/content/pkg/FR-2004-08-12/pdf/04-18575.pdf,Presidential Document,Executive Order,08/12/2004,2004-08-09,50047,Establishing an Emergency Board To Investigate a Dispute Between the Southeastern Pennsylvania Transportation Authority and Its Conductors Represented by the United Transportation Union,"See: EO 13334, April 12, 2004; EO 13810, September 20, 2017",13351
79 FR 75041, 2014-29625,75042,https://www.federalregister.gov/documents/2014/12/16/2014-29625/amendments-to-executive-orders-11030-13653-and-13673,https://www.govinfo.gov/content/pkg/FR-2014-12-16/pdf/2014-29625.pdf,Presidential Document,Executive Order,12/16/2014,2014-12-11,75041,"Amendments to Executive Orders 11030, 13653, and 13673","Amends: EO 11030, June 19, 1962; EO 13653, November 1, 2013; EO 13673, July 31, 2014
Amended by: EO 13782, March 27, 2017
 See: EO 13653, November 1, 2013",13683
79 FR 73459, 2014-29121,73460,https://www.federalregister.gov/documents/2014/12/10/2014-29121/closing-of-executive-departments-and-agencies-of-the-federal-government-on-friday-december-26-2014,https://www.govinfo.gov/content/pkg/FR-2014-12-10/pdf/2014-29121.pdf,Presidential Document,Executive Order,12/10/2014,2014-12-05,73459,"Closing of Executive Departments and Agencies of the Federal Government on Friday, December 26, 2014","",13682
79 FR 77357, 2014-30323,77359,https://www.federalregister.gov/documents/2014/12/24/2014-30323/blocking-property-of-certain-persons-and-prohibiting-certain-transactions-with-respect-to-the-crimea,https://www.govinfo.gov/content/pkg/FR-2014-12-24/pdf/2014-30323.pdf,Presidential Document,Executive Order,12/24/2014,2014-12-19,77357,Blocking Property of Certain Persons and Prohibiting Certain Transactions With Respect to the Crimea Region of Ukraine,"See: EO 13660, March 6, 2014; EO 13661, March 16, 2014; EO 13662, March 20, 2014",13685
79 FR 77361, 2014-30363,77372,https://www.federalregister.gov/documents/2014/12/24/2014-30363/adjustments-of-certain-rates-of-pay,https://www.govinfo.gov/content/pkg/FR-2014-12-24/pdf/2014-30363.pdf,Presidential Document,Executive Order,12/24/2014,2014-12-19,77361,Adjustments of Certain Rates of Pay,"Supersedes: EO 13655, December 23, 2013
Superseded by: EO 13715, December 18, 2015",13686
88 FR 89259, 2023-28661,89270,https://www.federalregister.gov/documents/2023/12/26/2023-28661/adjustments-of-certain-rates-of-pay,https://www.govinfo.gov/content/pkg/FR-2023-12-26/pdf/2023-28661.pdf,Presidential Document,Executive Order,12/26/2023,2023-12-21,89259,Adjustments of Certain Rates of Pay," Supersedes: EO 14090, December 23, 2022",14113
88 FR 89271, 2023-28662,89274,https://www.federalregister.gov/documents/2023/12/26/2023-28662/taking-additional-steps-with-respect-to-the-russian-federations-harmful-activities,https://www.govinfo.gov/content/pkg/FR-2023-12-26/pdf/2023-28662.pdf,Presidential Document,Executive Order,12/26/2023,2023-12-22,89271,Taking Additional Steps With Respect to the Russian Federation's Harmful Activities,"Amends: EO 14024, May 15, 2021; EO 14068,  March 11, 2022
See: EO 14039, August 20, 2021; EO 14066, March 8, 2022; EO 14071, April 6, 2022",14114
88 FR 83809, 2023-26569,83812,https://www.federalregister.gov/documents/2023/12/01/2023-26569/interagency-security-committee,https://www.govinfo.gov/content/pkg/FR-2023-12-01/pdf/2023-26569.pdf,Presidential Document,Executive Order,12/01/2023,2023-11-27,83809,Interagency Security Committee,"Revokes: EO 12977, October 19, 1995
Supersedes: EO 12977,  October 19, 1995",14111
88 FR 55905, 2023-17832,55907,https://www.federalregister.gov/documents/2023/08/17/2023-17832/united-states-coast-guard-officer-personnel-management,https://www.govinfo.gov/content/pkg/FR-2023-08-17/pdf/2023-17832.pdf,Presidential Document,Executive Order,08/17/2023,2023-08-14,55905,United States Coast Guard Officer Personnel Management,"",14106
79 FR 45309, 2014-18561,45315,https://www.federalregister.gov/documents/2014/08/05/2014-18561/fair-pay-and-safe-workplaces,https://www.govinfo.gov/content/pkg/FR-2014-08-05/pdf/2014-18561.pdf,Presidential Document,Executive Order,08/05/2014,2014-07-31,45309,Fair Pay and Safe Workplaces,"See: EO 11246, September 24, 1965; EO 13658, February 12, 2014; EO 13683, December 11, 2014; EO 13738, August 23, 2016
Revoked by: EO 13782, March 27, 2017",13673
88 FR 16527, 2023-05714,16529,https://www.federalregister.gov/documents/2023/03/17/2023-05714/reducing-gun-violence-and-making-our-communities-safer,https://www.govinfo.gov/content/pkg/FR-2023-03-17/pdf/2023-05714.pdf,Presidential Document,Executive Order,03/17/2023,2023-03-14,16527,Reducing Gun Violence and Making Our Communities Safer,"",14092
88 FR 45807, 2023-15347,45807,https://www.federalregister.gov/documents/2023/07/18/2023-15347/ordering-the-selected-reserve-and-certain-members-of-the-individual-ready-reserve-of-the-armed,https://www.govinfo.gov/content/pkg/FR-2023-07-18/pdf/2023-15347.pdf,Presidential Document,Executive Order,07/18/2023,2023-07-13,45807,Ordering the Selected Reserve and Certain Members of the Individual Ready Reserve of the Armed Forces to Active Duty,"",14102
89 FR 22327, 2024-06931,22329,https://www.federalregister.gov/documents/2024/04/01/2024-06931/recognizing-and-honoring-womens-history,https://www.govinfo.gov/content/pkg/FR-2024-04-01/pdf/2024-06931.pdf,Presidential Document,Executive Order,04/01/2024,2024-03-27,22327,Recognizing and Honoring Women's History,"See: EO 13985, January 20, 2021; EO 14020, March 8, 2021; EO 14091, February 16, 2023",14121
88 FR 24669, 2023-08659,24676,https://www.federalregister.gov/documents/2023/04/21/2023-08659/increasing-access-to-high-quality-care-and-supporting-caregivers,https://www.govinfo.gov/content/pkg/FR-2023-04-21/pdf/2023-08659.pdf,Presidential Document,Executive Order,04/21/2023,2023-04-18,24669,Increasing Access to High-Quality Care and Supporting Caregivers,"",14095
70 FR 20261, 05-7830,20261,https://www.federalregister.gov/documents/2005/04/18/05-7830/amendments-to-executive-order-12863-relating-to-the-presidents-foreign-intelligence-advisory-board,https://www.govinfo.gov/content/pkg/FR-2005-04-18/pdf/05-7830.pdf,Presidential Document,Executive Order,04/18/2005,2005-04-13,20261,"Amendments to Executive Order 12863, Relating to the President's Foreign Intelligence Advisory Board","Amends: EO 12863, September 13, 1993; See: EO 13070, December 15, 1997; EO 13301, May 14, 2003",13376
70 FR 8499, 05-3385,8500,https://www.federalregister.gov/documents/2005/02/18/05-3385/clarification-of-certain-executive-orders-blocking-property-and-prohibiting-certain-transactions,https://www.govinfo.gov/content/pkg/FR-2005-02-18/pdf/05-3385.pdf,Presidential Document,Executive Order,02/18/2005,2005-02-16,8499,Clarification of Certain Executive Orders Blocking Property and Prohibiting Certain Transactions,"Amends: EO 12947, January 23, 1995; EO 13224, September 23, 2001; See: EO 13099, August 20, 1998; EO 13268, July 2, 2002; EO 13284, January 23, 2003",13372
69 FR 24059, 04-10024,24061,https://www.federalregister.gov/documents/2004/04/30/04-10024/incentives-for-the-use-of-health-information-technology-and-establishing-the-position-of-the,https://www.govinfo.gov/content/pkg/FR-2004-04-30/pdf/04-10024.pdf,Presidential Document,Executive Order,04/30/2004,2004-04-27,24059,Incentives for the Use of Health Information Technology and Establishing the Position of the National Health Information Technology Coordinator,"",13335
70 FR 38567, 05-13214,38570,https://www.federalregister.gov/documents/2005/07/01/05-13214/blocking-property-of-weapons-of-mass-destruction-proliferators-and-their-supporters,https://www.govinfo.gov/content/pkg/FR-2005-07-01/pdf/05-13214.pdf,Presidential Document,Executive Order,07/01/2005,2005-06-28,38567,Blocking Property of Weapons of Mass Destruction Proliferators and Their Supporters,"Amends: EO 12938, November 14, 1994; See: EO 12735, November 16, 1990; EO 13094, July 28, 1998; Notice of October 25, 2005; Notice of October 27, 2006; Notice of November 8, 2007; Notice of November 10, 2008; Notice of November 6, 2009; EO 13810, September 20, 2017",13382
73 FR 11805, 08-970,11809,https://www.federalregister.gov/documents/2008/03/04/08-970/presidents-intelligence-advisory-board-and-intelligence-oversight-board,https://www.govinfo.gov/content/pkg/FR-2008-03-04/pdf/08-970.pdf,Presidential Document,Executive Order,03/04/2008,2008-02-29,11805,President's Intelligence Advisory Board and Intelligence Oversight Board,"Amended by: EO 13516, October 28, 2009; Revokes: EO 12863, September 13, 1993; See: EO 12333, December 4, 1981; EO 12958, April 17, 1995; EO 12968, August 2, 1995; EO 13470, July 30, 2008",13462
73 FR 24491, 08-1215,24493,https://www.federalregister.gov/documents/2008/05/02/08-1215/blocking-property-and-prohibiting-certain-transactions-related-to-burma,https://www.govinfo.gov/content/pkg/FR-2008-05-02/pdf/08-1215.pdf,Presidential Document,Executive Order,05/02/2008,2008-04-30,24491,Blocking Property and Prohibiting Certain Transactions Related to Burma,"Amended by: EO 13619, July 11, 2012
See: EO 13047, May 20, 1997; EO 13310, July 28, 2003; EO 13448, October 18, 2007; Notice of May 16, 2008; Notice of May 14, 2009; Notice of May 13, 2010; EO 13619, July 11, 2012
Revoked by: EO 13742, October 7, 2016",13464
72 FR 67827, 07-5919,67829,https://www.federalregister.gov/documents/2007/11/30/07-5919/establishing-an-emergency-board-to-investigate-disputes-between-the-national-railroad-passenger,https://www.govinfo.gov/content/pkg/FR-2007-11-30/pdf/07-5919.pdf,Presidential Document,Executive Order,11/30/2007,2007-11-28,67827,Establishing an Emergency Board To Investigate Disputes Between the National Railroad Passenger Corporation and Certain of Its Employees Represented by Certain Labor Organizations,"",13452
73 FR 73991, E8-28912,73993,https://www.federalregister.gov/documents/2008/12/04/E8-28912/exclusions-from-the-federal-labor-management-relations-program,https://www.govinfo.gov/content/pkg/FR-2008-12-04/pdf/E8-28912.pdf,Presidential Document,Executive Order,12/04/2008,2008-11-26,73991,Exclusions From the Federal Labor-management Relations Program,"Amends: EO 12171, November 19, 1979",13480
74 FR 6103, E9-2484,6106,https://www.federalregister.gov/documents/2009/02/04/E9-2484/nondisplacement-of-qualified-workers-under-service-contracts,https://www.govinfo.gov/content/pkg/FR-2009-02-04/pdf/E9-2484.pdf,Presidential Document,Executive Order,02/04/2009,2009-01-30,6103,Nondisplacement of Qualified Workers Under Service Contracts,"Revokes: EO 13204, February 17, 2001",13495
74 FR 6979, E9-3106,6979,https://www.federalregister.gov/documents/2009/02/11/E9-3106/further-amendments-to-executive-order-12835-establishment-of-the-national-economic-council,https://www.govinfo.gov/content/pkg/FR-2009-02-11/pdf/E9-3106.pdf,Presidential Document,Executive Order,02/11/2009,2009-02-05,6979,"Further Amendments to Executive Order 12835, Establishment of the National Economic Council","Amends: EO 12835, January 25, 1993",13499
70 FR 35505, 05-12284,35505,https://www.federalregister.gov/documents/2005/06/20/05-12284/amendment-to-executive-order-13369-relating-to-the-presidents-advisory-panel-on-federal-tax-reform,https://www.govinfo.gov/content/pkg/FR-2005-06-20/pdf/05-12284.pdf,Presidential Document,Executive Order,06/20/2005,2005-06-16,35505,"Amendment to Executive Order 13369, Relating to the President's Advisory Panel on Federal Tax Reform","Amends: EO 13369, January 7, 2005 
See: EO 13386, September 30, 2005; EO 13446, September 28, 2007",13379
70 FR 35509, 05-12354,35510,https://www.federalregister.gov/documents/2005/06/21/05-12354/implementing-amendments-to-agreement-on-border,https://www.govinfo.gov/content/pkg/FR-2005-06-21/pdf/05-12354.pdf,Presidential Document,Executive Order,06/21/2005,2005-06-17,35509,Implementing Amendments to Agreement on Border,"Amends: EO 13369, May 13, 1994",13380
73 FR 43841, 08-1480,43843,https://www.federalregister.gov/documents/2008/07/29/08-1480/blocking-property-of-additional-persons-undermining-democratic-processes-or-institutions-in-zimbabwe,https://www.govinfo.gov/content/pkg/FR-2008-07-29/pdf/08-1480.pdf,Presidential Document,Executive Order,07/29/2008,2008-07-25,43841,Blocking Property of Additional Persons Undermining Democratic Processes or Institutions in Zimbabwe,"See: EO 13288, March 6, 2003; EO 13391, November 22, 2005; Notice of March 3, 2009; Notice of March 1, 2010
Revoked by: EO 14118, March 4, 2024",13469
73 FR 38103, 08-1409,38108,https://www.federalregister.gov/documents/2008/07/02/08-1409/reforming-processes-related-to-suitability-for-government-employment-fitness-for-contractor,https://www.govinfo.gov/content/pkg/FR-2008-07-02/pdf/08-1409.pdf,Presidential Document,Executive Order,07/02/2008,2008-06-30,38103,"Reforming Processes Related to Suitability for Government Employment, Fitness for Contractor Employees, and Eligibility for Access to Classified National Security Information","Amends: EO 12171, November 19, 1979; EO 12968, August 2, 1995
Amend by: EO 13741, September 29, 2016; EO 13764, January 17, 2017; Revokes: EO 13381, June 27, 2005; 
See: EO 10450, April 27, 1953; EO 10577, November 23, 1954; EO 10865, February 20, 1960; EO 12333, December 4, 1981; EO 12829, January 6, 1993; EO 12958, April 17, 1995; EO 13476, October 9, 2008; EO 13488, January 16, 2008; EO 13549, August 18, 2010",13467
72 FR 52747, 07-4600,52747,https://www.federalregister.gov/documents/2007/09/14/07-4600/extending-privileges-and-immunities-to-the-african-union-mission-to-the-united-states,https://www.govinfo.gov/content/pkg/FR-2007-09-14/pdf/07-4600.pdf,Presidential Document,Executive Order,09/14/2007,2007-09-12,52747,Extending Privileges and Immunities to the African Union Mission to the United States,"",13444
73 FR 57229, E8-23235,57230,https://www.federalregister.gov/documents/2008/10/01/E8-23235/amendments-to-executive-order-12962,https://www.govinfo.gov/content/pkg/FR-2008-10-01/pdf/E8-23235.pdf,Presidential Document,Executive Order,10/01/2008,2008-09-26,57229,Amendments to Executive Order 12962,"Amends: EO 12962, June 7, 1995",13474
85 FR 48637, 2020-17699,48639,https://www.federalregister.gov/documents/2020/08/11/2020-17699/addressing-the-threat-posed-by-tiktok-and-taking-additional-steps-to-address-the-national-emergency,https://www.govinfo.gov/content/pkg/FR-2020-08-11/pdf/2020-17699.pdf,Presidential Document,Executive Order,08/11/2020,2020-08-06,48637,"Addressing the Threat Posed by TikTok, and Taking Additional Steps To Address the National Emergency With Respect to the Information and Communications Technology and Services Supply Chain","See: EO 13873, May 15, 2019 
Revoked by: EO 14034, June 9, 2021",13942
85 FR 48641, 2020-17700,48643,https://www.federalregister.gov/documents/2020/08/11/2020-17700/addressing-the-threat-posed-by-wechat-and-taking-additional-steps-to-address-the-national-emergency,https://www.govinfo.gov/content/pkg/FR-2020-08-11/pdf/2020-17700.pdf,Presidential Document,Executive Order,08/11/2020,2020-08-06,48641,"Addressing the Threat Posed by WeChat, and Taking Additional Steps To Address the National Emergency With Respect to the Information and Communications Technology and Services Supply Chain","See: EO 13873, May 15, 2019; EO 13942, August 6, 2020 
Revoked by: EO 14034, June 9, 2021",13943
85 FR 19643, 2020-07530,19650,https://www.federalregister.gov/documents/2020/04/08/2020-07530/establishing-the-committee-for-the-assessment-of-foreign-participation-in-the-united-states,https://www.govinfo.gov/content/pkg/FR-2020-04-08/pdf/2020-07530.pdf,Presidential Document,Executive Order,04/08/2020,2020-04-04,19643,Establishing the Committee for the Assessment of Foreign Participation in the United States Telecommunications Services Sector,"See: EO 12333, December 4, 1981; EO 14117, February 28, 2024",13913
87 FR 60541, 2022-21911,60543,https://www.federalregister.gov/documents/2022/10/06/2022-21911/expanding-eligibility-for-certain-military-decorations-and-awards,https://www.govinfo.gov/content/pkg/FR-2022-10-06/pdf/2022-21911.pdf,Presidential Document,Executive Order,10/06/2022,2022-10-03,60541,Expanding Eligibility for Certain Military Decorations and Awards,"Amends: EO 9158, May 11, 1942; EO 8809, June 28, 1941; EO 10694, January 10, 1957; EO 1046, August 24, 1962; EO 11545, July 9, 1970 EO 13830, April 20, 2018",14085
87 FR 60535, 2022-21839,60538,https://www.federalregister.gov/documents/2022/10/05/2022-21839/promoting-the-arts-the-humanities-and-museum-and-library-services,https://www.govinfo.gov/content/pkg/FR-2022-10-05/pdf/2022-21839.pdf,Presidential Document,Executive Order,10/05/2022,2022-09-30,60535,"Promoting the Arts, the Humanities, and Museum and Library Services","See:  EO 13985, January 20, 2021
Amended by: EO 14109, September 29, 2023
Revoked by: EO 14148, January 20, 2025",14084
87 FR 62283, 2022-22531,62297,https://www.federalregister.gov/documents/2022/10/14/2022-22531/enhancing-safeguards-for-united-states-signals-intelligence-activities,https://www.govinfo.gov/content/pkg/FR-2022-10-14/pdf/2022-22531.pdf,Presidential Document,Executive Order,10/14/2022,2022-10-07,62283,Enhancing Safeguards for United States Signals Intelligence Activities,"See: EO 12333, December 4, 1981; EO 13526, December 29, 2009",14086
85 FR 62539, 2020-22064,62544,https://www.federalregister.gov/documents/2020/10/05/2020-22064/addressing-the-threat-to-the-domestic-supply-chain-from-reliance-on-critical-minerals-from-foreign,https://www.govinfo.gov/content/pkg/FR-2020-10-05/pdf/2020-22064.pdf,Presidential Document,Executive Order,10/05/2020,2020-09-30,62539,Addressing the Threat to the Domestic Supply Chain From Reliance on Critical Minerals From Foreign Adversaries and Supporting the Domestic Mining and Processing Industries,"Amends: EO 13817, December 20, 2017; See: EO 13603, March 16, 2012",13953
86 FR 19569, 2021-07756,19570,https://www.federalregister.gov/documents/2021/04/14/2021-07756/establishment-of-the-presidential-commission-on-the-supreme-court-of-the-united-states,https://www.govinfo.gov/content/pkg/FR-2021-04-14/pdf/2021-07756.pdf,Presidential Document,Executive Order,04/14/2021,2021-04-09,19569,Establishment of the Presidential Commission on the Supreme Court of the United States,"Revoked by: EO 14148, January 20, 2025",14023
76 FR 52847, 2011-21704,52849,https://www.federalregister.gov/documents/2011/08/23/2011-21704/establishing-a-coordinated-government-wide-initiative-to-promote-diversity-and-inclusion-in-the,https://www.govinfo.gov/content/pkg/FR-2011-08-23/pdf/2011-21704.pdf,Presidential Document,Executive Order,08/23/2011,2011-08-18,52847,Establishing a Coordinated Government-Wide Initiative to Promote Diversity and Inclusion in the Federal Workforce,"See: EO 13078, March 13, 1998; EO 13163, July 26, 2000; EO 13171, October 12, 2000; EO 13518, November 9, 2009; EO 13548, July 26, 2010; EO 13583, August 18, 2011; EO 14100, June 9, 2023
Revoked by: EO 14173, January 21, 2025",13583
77 FR 12981, 2012-5366,12983,https://www.federalregister.gov/documents/2012/03/05/2012-5366/establishment-of-the-interagency-trade-enforcement-center,https://www.govinfo.gov/content/pkg/FR-2012-03-05/pdf/2012-5366.pdf,Presidential Document,Executive Order,03/05/2012,2012-02-28,12981,Establishment of the Interagency Trade Enforcement Center,"",13601
74 FR 69231, E9-31098,69242,https://www.federalregister.gov/documents/2009/12/30/E9-31098/adjustments-of-certain-rates-of-pay,https://www.govinfo.gov/content/pkg/FR-2009-12-30/pdf/E9-31098.pdf,Presidential Document,Executive Order,12/30/2009,2009-12-23,69231,Adjustments of Certain Rates of Pay,"",13525
70 FR 12579, 05-5097,12580,https://www.federalregister.gov/documents/2005/03/14/05-5097/amendments-to-executive-order-11926-relating-to-the-vice-presidential-service-badge,https://www.govinfo.gov/content/pkg/FR-2005-03-14/pdf/05-5097.pdf,Presidential Document,Executive Order,03/14/2005,2005-03-10,12579,Amendments to Executive Order 11926 Relating to the Vice Presidential Service Badge,"Amends: EO 11926, July 19, 1976
See: EO 13286, February 28, 2003; EO 14131, December 20, 2024",13373
74 FR 4669, E9-1712,4671,https://www.federalregister.gov/documents/2009/01/26/E9-1712/presidential-records,https://www.govinfo.gov/content/pkg/FR-2009-01-26/pdf/E9-1712.pdf,Presidential Document,Executive Order,01/26/2009,2009-01-21,4669,Presidential Records,"Revokes: EO 13233, November 1, 2001",13489
74 FR 2285, E9-811,2286,https://www.federalregister.gov/documents/2009/01/14/E9-811/amending-the-order-of-succession-within-the-department-of-agriculture,https://www.govinfo.gov/content/pkg/FR-2009-01-14/pdf/E9-811.pdf,Presidential Document,Executive Order,01/14/2009,2009-01-09,2285,Amending the Order of Succession Within the Department of Agriculture,"Amends: EO 13241, December 18, 2001",13484
74 FR 2287, E9-814,2288,https://www.federalregister.gov/documents/2009/01/14/E9-814/providing-an-order-of-succession-within-the-department-of-transportation,https://www.govinfo.gov/content/pkg/FR-2009-01-14/pdf/E9-814.pdf,Presidential Document,Executive Order,01/14/2009,2009-01-09,2287,Providing an Order of Succession Within the Department of Transportation,"Supersedes: Memorandum of March 19, 2002",13485
85 FR 6725, 2020-02439,6729,https://www.federalregister.gov/documents/2020/02/05/2020-02439/ensuring-safe-and-lawful-e-commerce-for-united-states-consumers-businesses-government-supply-chains,https://www.govinfo.gov/content/pkg/FR-2020-02-05/pdf/2020-02439.pdf,Presidential Document,Executive Order,02/05/2020,2020-01-31,6725,"Ensuring Safe and Lawful E-Commerce for United States Consumers, Businesses, Government Supply Chains, and Intellectual Property Rights Holders","See: EO 12549, February 18, 1986",13904
74 FR 10667, E9-5441,10668,https://www.federalregister.gov/documents/2009/03/11/E9-5441/removing-barriers-to-responsible-scientific-research-involving-human-stem-cells,https://www.govinfo.gov/content/pkg/FR-2009-03-11/pdf/E9-5441.pdf,Presidential Document,Executive Order,03/11/2009,2009-03-09,10667,Removing Barriers to Responsible Scientific Research Involving Human Stem Cells,"Revokes: EO 13435, June 20, 2007",13505
66 FR 66270, 01-31671,66270,https://www.federalregister.gov/documents/2001/12/21/01-31671/providing-an-order-of-succession-within-the-department-of-the-treasury,https://www.govinfo.gov/content/pkg/FR-2001-12-21/pdf/01-31671.pdf,Presidential Document,Executive Order,12/21/2001,2001-12-18,66270,Providing an Order of Succession Within the Department of the Treasury,"Revokes: EO 11822, December 10, 1974; Amended by: EO 13261, March 19, 2002",13246
66 FR 66268, 01-31670,66269,https://www.federalregister.gov/documents/2001/12/21/01-31670/providing-an-order-of-succession-within-the-department-of-labor,https://www.govinfo.gov/content/pkg/FR-2001-12-21/pdf/01-31670.pdf,Presidential Document,Executive Order,12/21/2001,2001-12-18,66268,Providing an Order of Succession Within the Department of Labor,"Revokes: EO 10513, January 19, 1954; Amended by: EO 13261, March 19, 2002",13245
